ID,site,ALS,P1,P2,P3,T1,T2,T3,GR1,GR2,GR3,PM2.5_1,PM2.5_2,PM2.5_3,PM2.5_4,CO2_1,CO2_2,CO2_3,pop1,pop2,pop3,GDP1,GDP2,GDP3,area1,area2,area3,light,income,name,name1,name2,GCPNT_LAT,GCPNT_LON,CTR_MN_NM,GRGN_L1
4405,2,177.4179595,735.1250305,570.6750107,707.6000061,26.06049585,26.29682779,25.82539654,0.310806452,0.281049157,0.184950188,103.413,105.80492,107.92802,93.20688,167870.6983,63203.58977,45739.73745,357140.2741,274316.3394,186786.6142,737471168,296455680,249716512,21.00320435,14.95346832,6.542579651,11.27451576,2,Mathura,,,27.4967238,77.66206917,India,Asia
4406,2,580.5545857,903.4750061,767.0250092,969.1000519,25.8813076,25.582335,25.41543102,0.412500258,0.438706957,0.265551687,41.1344,34.58956,33.84164,32.57142,9056.964204,4052.284379,3194.808578,194608.5713,182026.2545,139104.2856,1272530432,460469696,344517440,5.405735493,4.197305679,2.218022347,2.867050741,2,Karad,,,17.28743511,74.18394164,India,Asia
4407,2,190.6759411,734.7250214,570.1249924,736.0500183,25.92189407,26.14133644,25.56596661,0.372903331,0.309145776,0.250652876,110.8255,117.8839,113.99984,99.45728,3758.081955,1427.559868,1066.512097,104683.7561,80422.19256,64619.73343,38662800,10376362,8740425,1.132918,0.704271972,0.331418008,6.12870213,2,Khair,,,27.9411395,77.84146489,India,Asia
4408,2,564.9064937,1136.525024,768.5749969,929.1500244,25.3560133,25.56182194,25.37169075,0.33147128,0.332714895,0.208731058,47.7493,39.69192,38.81372,36.7221,741097.3931,286803.0888,212008.2471,2886468.994,1998230.244,1461897.041,8211083776,2874852864,2414305536,103.4627075,78.62017059,50.68849182,15.19007527,2,Indore,,,22.68108191,75.84162043,India,Asia
4409,2,156.3858054,1025.550018,704.4750061,872.7500305,26.83573437,26.9970746,26.79879189,0.445843494,0.406921467,0.196487147,48.82405,40.44422,39.52886,37.98422,2172.330092,926.6117707,687.0837633,50435.1582,45210.52698,36589.07837,46584772,21082632,17705222,1.320936918,1.223935962,0.910149932,3.883174011,2,Maheshwar,,,22.17278366,75.58599427,India,Asia
4410,2,20.95402811,2047.100037,1687.650024,2093.800079,28.3872385,28.05923748,27.91507149,0.545955461,0.535053739,0.348040465,32.83275,27.7943,27.51432,28.80928,47612.33016,21501.69803,18475.10582,267241.958,269804.4678,249022.1642,4272409856,1233722880,642456960,18.77262688,15.80051899,10.31423283,7.478185522,2,Panaji,,,15.49265084,73.82150223,India,Asia
4411,2,196.5550756,721.5500183,541.1750031,668.9500351,27.34595251,27.38647556,27.09879828,0.381082699,0.359910561,0.204017704,47.2403,38.71966,37.41774,35.81934,1867.576463,780.2754572,597.602063,137412.2524,115527.3394,84718.65216,537624384,199815360,149499280,3.156373978,2.657516003,1.753318071,3.277097517,2,Chopda,,,21.24352924,75.29919657,India,Asia
4412,2,227.1854999,919.6250305,766.9250183,999.625,24.55774403,24.83661413,24.03315735,0.372269404,0.40102891,0.260332407,99.1265,91.67342,90.21392,84.52044,4290.173422,1881.71586,1414.225235,103474.9244,103841.8103,84809.96558,506457920,192999744,162571424,0.684355021,0.629381061,0.535758018,2.435805927,2,Noorpur,,,29.14974805,78.40717456,India,Asia
4413,2,197.944468,796.9000244,643.0750275,837.9250183,25.45541096,25.69927502,25.00245667,0.381995278,0.331828874,0.221100174,118.4245,121.73704,117.44946,103.6328,12066.07979,5116.422089,4679.414431,128115.1654,126618.3655,131448.5604,601982336,383635616,323151648,1.035068035,0.818294942,0.818294942,2.646160329,2,Shikarpur,,,28.27685597,78.00706836,India,Asia
4414,2,177.8199868,734.7250214,570.1249924,736.0500183,25.92189407,26.14133644,25.56596661,0.329009116,0.323429338,0.241900184,104.79835,110.51304,109.34818,94.88326,2348.612498,841.3307421,564.6669716,56785.46851,44213.06934,33072.56641,30021780,11427752,9626055,0.271890014,0.130007997,0.051618002,2.476542652,2,Mant,,,27.63667054,77.7131209,India,Asia
4415,2,661.6683803,579.8499985,467.2750168,614.4749985,26.34583378,26.12594748,25.98160696,0.407756034,0.410362987,0.236685236,48.5991,40.92628,39.75462,35.91544,42352.91612,18393.00734,15195.24678,592607.5704,542255.6403,474674.0709,3896035840,1480408448,1107622400,22.54403877,16.96315575,12.50834274,8.744418091,2,Ahmadnagar,,,19.11227917,74.73027309,India,Asia
4416,2,557.9424578,598.6750107,490.2999954,640.1000137,26.68744898,26.44868755,26.23768568,0.37033615,0.400835141,0.24938129,45.28585,38.78522,37.30348,34.31,1204.532635,542.7480415,457.2678339,78963.01465,87502.00476,80270.97729,264925296,247579840,185236064,0.896714091,0.692485988,0.480190039,3.615337074,2,Shrigonda,,,18.61428982,74.69603108,India,Asia
4417,2,559.089067,671.4250183,560.8000107,721.1250305,27.00107956,26.7372098,26.55144691,0.394365517,0.408826355,0.259819685,44.6033,38.58586,37.16452,33.21668,18930.60958,7595.16279,5792.593836,216101.9745,155241.5459,104818.8957,1455422336,405535072,303416064,8.051157951,5.57297945,3.253369331,7.979944173,2,Baramati,,,18.16774382,74.5899106,India,Asia
4418,2,575.8650251,1154.675034,1032.675018,1214.149994,25.35166216,25.01104164,24.88156748,0.521476968,0.494663832,0.252492091,35.75155,29.71814,28.7172,29.292,2070.41802,891.0007364,734.5048615,53463.53198,49872.31787,40222.43591,310288064,131671752,98515120,0.78244704,0.618980944,0.440850019,1.25900752,2,Mudhaltitta,,,16.41755862,74.14243509,India,Asia
4419,2,200.6595987,795.2000122,620.0000229,733.0750275,26.02577639,26.28286123,25.8322525,0.45591464,0.403053583,0.312745958,85.25575,82.96654,85.7219,76.40306,4899.992415,1972.756411,1655.352408,135682.5734,113637.8488,109628.5273,464853184,20172644,15401951,0.253473014,0.155154005,0.118600987,2.729683825,2,Baseri,,,26.74567604,77.54035582,India,Asia
4420,2,188.185622,770.9250183,626.8499985,789.7000275,25.76377249,25.97454882,25.36124659,0.309425621,0.28352182,0.201605263,114.3665,119.80738,117.24476,101.98448,482536.9285,206823.7003,155606.3138,1617979.672,1301784.319,981609.9211,4195641344,1716795776,1446125696,30.36095047,21.25630379,9.337303162,11.42734082,2,Aligarh,,,27.90366611,78.08159667,India,Asia
4421,2,210.5194456,849.3250122,681.6000061,917.9500275,25.04392672,25.29409122,24.54507017,0.483480005,0.47051589,0.40616409,105.845,98.02416,97.77804,91.59776,18938.64912,7430.064652,5233.557736,85544.67136,64366.59457,44347.24292,88471096,26240250,22103214,0.875306964,0.739279985,0.501296997,3.786823064,2,Joya,,,28.83697473,78.47111089,India,Asia
4422,2,181.5025971,734.7250214,570.1249924,736.0500183,25.92189407,26.14133644,25.56596661,0.334369952,0.31054416,0.289197451,111.8905,115.7979,114.08558,100.46798,3728.369412,1574.575729,1226.986011,124555.6255,124867.8997,114527.4395,179080416,200539104,168922144,0.49525702,0.290707022,0.16737099,3.868559202,2,Iglas,,,27.70867282,77.93859287,India,Asia
4423,2,176.7595223,735.1250305,570.6750107,707.6000061,26.06049585,26.29682779,25.82539654,0.42023652,0.331661265,0.250779444,98.7977,96.13938,99.2369,87.63178,1776.453425,731.5986173,590.5627707,53805.8949,47525.42163,41926.24207,166495248,117578712,99041272,0.758933961,0.66890204,0.582563996,9.723467469,2,Fatehpur Sikri,,,27.09827815,77.67311814,India,Asia
4424,2,233.1881404,972.2750244,839.5000153,1078.600037,24.42159748,24.70026684,23.86400843,0.347486289,0.380382262,0.283891319,91.55485,84.15242,82.73926,78.57928,30688.6627,13302.10798,10665.35327,195088.0122,183449.3828,151482.1671,731136960,351670784,296226432,1.924217939,1.578917027,1.36560905,6.548508666,2,Dhampur,,,29.30436549,78.5120464,India,Asia
4425,2,202.1376911,796.9000244,643.0750275,837.9250183,25.45541096,25.69927502,25.00245667,0.327379,0.281417718,0.221371267,118.8005,118.86542,116.48414,104.08002,4106.759559,1672.402107,1545.18185,138286.458,125365.8583,133916.1118,608350080,287808928,242433024,1.563097,1.240876913,1.240876913,5.363511086,2,Jahangirabad,,,28.40421766,78.10659544,India,Asia
4426,2,192.2522862,761.5500183,584.5000076,785.3500061,25.51197386,25.73581028,25.09757614,0.458207554,0.355715508,0.235092015,112.505,119.99194,117.22412,102.68488,6024.2212,2183.425822,1535.376473,65653.69348,43570.54071,31383.90094,368079424,136627872,115087160,0.361766011,0.171171993,0.055499002,1.700327821,2,Gabhana,,,28.05199102,77.95742893,India,Asia
4427,2,36.46897862,2047.100037,1687.650024,2093.800079,28.3872385,28.05923748,27.91507149,0.493158989,0.484514573,0.269649613,32.4964,27.64566,27.43614,28.64878,17036.71469,7577.731442,6445.163312,101793.8986,93009.82498,80562.69886,1467179008,395186976,205792256,10.78974342,10.28745842,8.466937065,11.36473915,2,Vasco da Gama,,,15.39184326,73.83244787,India,Asia
4428,2,561.7799511,761.1250153,631.0250168,819.8500061,25.47769499,25.19772291,25.02642965,0.386248722,0.373586292,0.254667183,43.2747,37.76682,36.43038,32.43128,3173.03214,1552.800952,1405.227715,121831.6666,145664.7076,149190.9132,1190181760,630057472,471400864,4.078005314,3.374362707,2.708657026,5.166059632,2,Phaltan,,,17.98445444,74.43534382,India,Asia
4429,2,205.4833105,849.3250122,681.6000061,917.9500275,25.04392672,25.29409122,24.54507017,0.288260755,0.317414357,0.244836994,112.321,108.78596,106.5808,99.02486,9861.199332,4138.382648,3617.131003,74973.8064,79035.20306,81466.6055,564824064,225626096,190053920,1.303312063,1.165758014,1.099274993,3.252246669,2,Hasanpur,,,28.72591313,78.2844405,India,Asia
4430,2,186.1682558,734.7250214,570.1249924,736.0500183,25.92189407,26.14133644,25.56596661,0.387287796,0.391816411,0.340360644,111.58,117.59958,114.44106,99.95368,1509.342389,650.7104184,525.9889886,64652.31836,67459.26343,56727.58789,77730432,38203648,32180464,0.257070005,0.157052994,0.082901999,1.08147347,2,Gonda,,,27.83789858,77.88035933,India,Asia
4431,2,175.1462242,735.1250305,570.6750107,707.6000061,26.06049585,26.29682779,25.82539654,0.391828606,0.34188519,0.260905757,102.56265,104.16702,107.25886,93.94968,439193.6358,256706.3839,103206.0941,246325.0371,201076.1336,165580.7564,792600448,366610592,308810816,3.723103285,2.360492945,1.014039993,16.90719911,2,Gokul,,,27.39999787,77.6918513,India,Asia
4432,2,227.8355331,972.2750244,839.5000153,1078.600037,24.42159748,24.70026684,23.86400843,0.346756198,0.393839866,0.255921247,88.4898,81.66814,79.8363,76.79594,23857.93399,10231.99227,8305.233529,159070.9673,156095.1604,141002.6152,458985600,220461952,185703936,1.568970084,1.343484044,1.271136045,3.873780659,2,Sherkot,,,29.32539115,78.57514218,India,Asia
4433,2,522.6187709,671.4250183,560.8000107,721.1250305,27.00107956,26.7372098,26.55144691,0.414956648,0.427478714,0.284364671,45.574,39.23634,37.6994,33.7298,10155.83899,4061.747253,3053.384342,120154.5426,101234.2891,93137.13419,511119456,201621040,150850272,2.685939074,1.938907027,1.207783937,4.595509068,2,Daund,,,18.45278656,74.57540339,India,Asia
4434,2,193.8049998,796.9000244,643.0750275,837.9250183,25.45541096,25.69927502,25.00245667,0.390699503,0.323118756,0.206865673,117.15,121.7275,118.29044,104.25928,2705.828206,1063.943556,507.5190449,59194.60156,58731.60352,19438.21667,228455616,77812336,65544456,0.47824502,0.379563987,0.121006995,1.570989807,2,Pahasu,,,28.17217957,78.06205214,India,Asia
4435,2,254.0519937,870.6999969,617.0500183,775.9750061,26.7406497,26.81597328,26.63028193,0.371057187,0.34532288,0.175487707,48.21875,39.5604,38.06478,36.66396,5445.966211,2167.335184,1568.977095,84424.62012,67551.25861,48183.06067,128278696,51521120,43267504,4.316418171,3.696483135,2.412463903,7.407511507,2,Khargone,,,21.82374788,75.61338214,India,Asia
