ID,site,ALS,P1,P2,P3,T1,T2,T3,GR1,GR2,GR3,PM2.5_1,PM2.5_2,PM2.5_3,PM2.5_4,CO2_1,CO2_2,CO2_3,pop1,pop2,pop3,GDP1,GDP2,GDP3,area1,area2,area3,light,income
419,2,268.5870148,783.0250397,832.0250244,777.5750122,10.83286357,10.38298345,9.829502344,0.396545283,0.404556672,0.207743335,19.9239,19.43638,19.95876,19.49552,13.79160947,13.84359881,13.72408891,12.21924313,12.17844392,12.15713687,22.17630724,21.95970822,21.75075966,3.767235083,3.7397849,3.668920994,21.5962179,4
420,2,48.22457638,563.8000183,588.5000076,496.0500107,10.17615652,9.92205143,9.692080021,0.48943004,0.450645224,0.349109207,16.251,18.46116,17.88528,20.171,10.32380891,10.55371342,10.43642518,11.44162709,11.5153332,11.56102189,20.69463285,20.2099073,19.97364677,2.763556214,2.694468536,2.652655001,25.70468154,4
421,2,393.6672545,734.9500122,803.5250244,730.7000275,9.201816797,8.828759432,8.350810289,0.417018417,0.399088718,0.208746995,19.0976,18.86706,19.20202,19.38332,10.17767221,10.64551717,11.42447007,11.27351441,11.34589309,11.40758774,20.66554031,20.44743686,20.41550948,2.854791076,2.813148116,2.756637803,26.90063109,4
422,2,215.7866936,662.2750244,671.7250214,562.0250092,10.12669182,9.808987141,9.521566391,0.503091667,0.477091569,0.378661043,19.3044,19.5955,19.58642,22.69394,9.449185212,9.657052073,10.07401006,10.93355156,11.10238919,11.1965915,20.54143957,20.40925709,20.1830147,2.517739202,2.473410077,2.380740621,16.70415969,4
423,2,401.1366684,959.1500244,987.4250183,804.2000122,8.775053263,8.376526952,7.992307544,0.512661371,0.511116471,0.404095196,18.73855,19.0576,19.0832,21.85636,10.74427029,11.18423147,11.89892003,11.36672065,11.36485187,11.35757408,20.63399576,20.4455311,20.39797704,2.737963979,2.625407845,2.53204426,21.91143529,4
424,2,445.5445428,1524.000031,1326.949982,1312.700012,8.758766413,8.399785519,7.638160586,0.486238355,0.505171689,0.391511979,20.06735,18.45408,19.30714,18.57182,10.14370724,10.00578924,9.956020346,11.06692535,11.04081632,11.0125617,20.92668174,20.74578552,20.50754459,2.89781686,2.873084066,2.863430745,10.53878555,4
425,2,142.4158615,1519.125031,1446.175049,1230.200012,13.29335022,12.89201641,12.07419038,0.481963949,0.477612839,0.417881034,19.30275,18.08476,18.62108,18.49162,11.06448428,11.15867753,11.51053955,11.8754992,11.972001,12.08841681,21.54542921,21.38859602,22.0786855,3.368174666,3.327788321,3.287345213,23.1702423,3
426,2,301.589336,1452.324982,1278.725006,1270.075043,10.14623189,9.773341417,8.929920673,0.467747599,0.456110862,0.386486801,20.233,18.56966,19.66988,19.53174,12.52270259,12.83873612,13.41239741,12.43055526,12.30297416,12.24377654,22.43332761,22.00481958,21.75065914,3.825784839,3.802916315,3.778834572,18.26639624,4
427,2,38.61118196,701.1000061,734.2750244,658.0250244,9.422592163,9.336279154,9.160730124,0.462848669,0.451106566,0.370850041,13.77355,14.95286,15.0032,16.6091,9.342572389,9.546846744,9.418080914,11.47383626,11.50845831,11.5103055,17.53788098,17.12306773,16.82201302,2.700014384,2.63831271,2.607476042,22.74602633,4
428,2,40.03829221,534.3000107,527.5500031,499.6750031,7.361249328,7.351848722,7.153191447,0.458662068,0.435539359,0.383097609,6.151345,6.912154,7.29577,9.982698,9.082862143,9.473737706,9.373392372,10.85478419,10.72013817,10.67079305,20.93602307,20.60731899,20.2811787,2.474378008,2.427785653,2.323765746,44.74156221,4
429,2,234.4298413,636.6000061,653.5750122,534.2250214,10.02690816,9.553033829,9.140372515,0.462213677,0.431744493,0.30475611,23.99125,23.65384,23.72468,25.80286,10.3825622,10.89961324,11.70887699,10.93782168,11.02087167,11.10461378,20.27929704,20.00625243,19.96250933,2.72974537,2.712568532,2.681691776,33.65923201,4
430,2,137.8877214,554.7000275,587.2250214,461.5000076,10.39527059,10.01574516,9.659374475,0.435314531,0.438977379,0.315423615,20.6377,21.0796,20.86806,23.26136,8.699981212,9.515272316,8.991950393,11.16018414,11.23946121,11.28791797,20.48010242,19.99098018,19.57829656,2.01942458,1.903922386,1.759254108,25.2736994,4
431,2,121.8486175,554.7000275,587.2250214,461.5000076,10.39527059,10.01574516,9.659374475,0.506279405,0.458156979,0.30101803,22.9558,22.83074,22.6339,25.28726,9.011574956,9.774036993,9.322796008,11.11214487,11.19454303,11.25248424,20.5372105,20.02719535,19.61451147,2.429823744,2.374022484,2.302651085,32.84344454,4
432,2,366.8866879,1228.200012,1089.625,1183.100037,7.782760859,7.390728354,6.596683264,0.445099934,0.46320624,0.419488257,19.49815,18.31218,19.31602,18.77854,12.98885779,13.0160324,12.93317883,12.47409852,12.27605972,12.13920133,22.3277081,21.96320264,21.69107754,3.647623682,3.621799253,3.522935913,15.85054827,4
433,2,65.90202221,599.6750031,649.2250214,541.7249908,9.408256292,9.187774897,8.952428341,0.441341914,0.432420193,0.362931966,17.10025,18.7926,18.1014,20.058,9.613979,9.842621932,9.724884361,10.94786655,10.99713318,11.0126598,20.31834772,19.83195201,19.30947003,2.444597329,2.408241557,2.377945967,22.55386298,4
